No,Code,Company Name,Listing Date,Shares,Listing Board
1,AALI,Astra Agro Lestari Tbk.,09 Dec 1997,"1,924,688,333",Main
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,"3,935,892,857",Watchlist
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,"620,806,680",Development
4,ABMM,ABM Investama Tbk.,06 Dec 2011,"2,753,165,000",Main
5,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,"17,120,389,700",Main
6,ACST,Acset Indonusa Tbk.,24 Jun 2013,"17,675,160,000",Watchlist
7,ADES,Akasha Wira International Tbk.,13 Jun 1994,"589,896,800",Development
8,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,"8,407,608,979",Main
9,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,"9,311,800,000",Main
10,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,"6,449,463,636",Watchlist
11,AKPI,Argha Karya Prima Industry Tbk,18 Dec 1992,"612,248,000",Development
12,AKRA,AKR Corporindo Tbk.,03 Oct 1994,"20,073,474,600",Main
13,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,"720,000,000",Development
14,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,"2,700,713,744",Development
15,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,"507,665,055",Development
16,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,"3,816,000,000",Watchlist
17,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,"2,191,870,558",Watchlist
18,AMAG,Asuransi Multi Artha Guna Tbk.,23 Dec 2005,"5,001,552,516",Development
19,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,"434,000,000",Development
20,AMIN,Ateliers Mecaniques D Indonesi,10 Dec 2015,"1,080,000,000",Development
21,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,"41,524,501,700",Main
22,ANJT,Austindo Nusantara Jaya Tbk.,08 May 2013,"3,354,175,000",Development
23,ANTM,Aneka Tambang Tbk.,27 Nov 1997,"24,030,764,725",Main
24,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,"3,546,466,661",Development
25,APIC,Pacific Strategic Financial Tb,18 Dec 2002,"11,766,313,488",Development
