model,feature,importance
random_forest,price_vs_ma5,0.038149573911628265
random_forest,high_low_spread,0.040184200639627514
random_forest,price_position,0.03486062270202229
random_forest,volume_ratio_50d,0.03308130763266419
random_forest,price_vs_ma10,0.03393896676874812
random_forest,log_volume,0.030614031685254055
random_forest,daily_return,0.027559555189029764
random_forest,volatility_5d,0.029487108651793263
random_forest,log_return,0.026480656274804667
random_forest,high_low_spread_lag1,0.028421514046253624
random_forest,price_vs_ma50,0.02870919660287204
random_forest,momentum_50d,0.026693576882930205
random_forest,dist_from_low50,0.027792504635053915
random_forest,volatility_10d,0.024247863517770484
random_forest,volume_std_5d,0.027051896649119823
random_forest,dist_from_high5,0.024377377513416246
random_forest,volume_ratio_20d,0.026740371104125485
random_forest,volume_ratio_10d,0.021539745301808372
random_forest,volume_std_20d,0.022352246738757978
random_forest,momentum_5d,0.0228133598497298
random_forest,price_vs_ma20,0.024211757369932974
random_forest,dist_from_high50,0.021142827208871146
random_forest,high_low_spread_lag2,0.023293802911846986
random_forest,close_open_gap,0.022880324168816458
random_forest,volume_std_50d,0.023156872185309797
random_forest,momentum_10d,0.02197623503586701
random_forest,relative_strength,0.02198856350363722
random_forest,volume_std_10d,0.021439582558109706
random_forest,dist_from_high20,0.017380245341756063
random_forest,sector_vol_regime,0.02215403026141897
random_forest,dist_from_high10,0.018675555122486028
random_forest,momentum_20d,0.019203507611442235
random_forest,high_low_spread_lag5,0.02021876566336757
random_forest,volume_ratio_5d,0.0199967650869432
random_forest,volatility_20d,0.02063705347987564
random_forest,dist_from_low20,0.019999972771185696
random_forest,sector_avg_return,0.02283782982264935
random_forest,close_open_gap_lag1,0.022324230096944717
random_forest,autocorr_20d,0.020244772430253057
random_forest,high_low_spread_lag20,0.021141631071876114
logistic_regression,price_vs_ma5,0.038565025768343864
logistic_regression,high_low_spread,0.01883538622394668
logistic_regression,price_position,0.14314865494816026
logistic_regression,volume_ratio_50d,0.04466602399245736
logistic_regression,price_vs_ma10,0.23243221545776785
logistic_regression,log_volume,0.09980450998385627
logistic_regression,daily_return,0.010328454582799927
logistic_regression,volatility_5d,0.03897497521487599
logistic_regression,log_return,0.048902516698076014
logistic_regression,high_low_spread_lag1,0.027699294291812886
logistic_regression,price_vs_ma50,0.1706368466977816
logistic_regression,momentum_50d,0.11058992549246342
logistic_regression,dist_from_low50,0.09971226303122666
logistic_regression,volatility_10d,0.09397978159034595
logistic_regression,volume_std_5d,0.0036407823364369095
logistic_regression,dist_from_high5,0.020268256556733057
logistic_regression,volume_ratio_20d,0.022183694316458658
logistic_regression,volume_ratio_10d,0.039427871732427115
logistic_regression,volume_std_20d,0.019301436514819276
logistic_regression,momentum_5d,0.04963480656559667
logistic_regression,price_vs_ma20,0.041775293833302814
logistic_regression,dist_from_high50,0.03443641809143833
logistic_regression,high_low_spread_lag2,0.003015254563669798
logistic_regression,close_open_gap,0.0746767286951882
logistic_regression,volume_std_50d,0.06472180538942872
logistic_regression,momentum_10d,0.08760635477502735
logistic_regression,relative_strength,0.02153579003735461
logistic_regression,volume_std_10d,0.0036932981259414463
logistic_regression,dist_from_high20,0.007918273547273438
logistic_regression,sector_vol_regime,0.0016917690807375
logistic_regression,dist_from_high10,0.15409655567344824
logistic_regression,momentum_20d,0.11353609717341015
logistic_regression,high_low_spread_lag5,0.0048049965283848825
logistic_regression,volume_ratio_5d,0.041716655323006335
logistic_regression,volatility_20d,0.015385829196083384
logistic_regression,dist_from_low20,0.008164250592347043
logistic_regression,sector_avg_return,0.03933303262751187
logistic_regression,close_open_gap_lag1,0.06792721102851179
logistic_regression,autocorr_20d,0.03634030113912657
logistic_regression,high_low_spread_lag20,0.03206178208591295
