rank,feature,selector_importance
1,price_vs_ma5,0.03751659598033161
2,high_low_spread,0.03366562559077985
3,price_position,0.03239270822675993
4,volume_ratio_50d,0.032200329709855285
5,price_vs_ma10,0.030463123003307772
6,log_volume,0.02783023855437952
7,daily_return,0.025362199168611994
8,volatility_5d,0.024446798863564472
9,log_return,0.02257374800220252
10,high_low_spread_lag1,0.02199447552155899
11,price_vs_ma50,0.021467200724476335
12,momentum_50d,0.020226979779513727
13,dist_from_low50,0.020170534045874457
14,volatility_10d,0.019958811792553013
15,volume_std_5d,0.019529778261829136
16,dist_from_high5,0.01928729246266577
17,volume_ratio_20d,0.019083779336499698
18,volume_ratio_10d,0.017476615369741762
19,volume_std_20d,0.017437774706355064
20,momentum_5d,0.016707216412668948
21,price_vs_ma20,0.016547516676477313
22,dist_from_high50,0.016318430572766354
23,high_low_spread_lag2,0.01617296958668987
24,close_open_gap,0.01609305166421095
25,volume_std_50d,0.01570170539518857
26,momentum_10d,0.014643469290309625
27,relative_strength,0.01416243618096336
28,volume_std_10d,0.013998053448831628
29,dist_from_high20,0.013026691923187452
30,sector_vol_regime,0.012251558239711309
31,dist_from_high10,0.012228516330198136
32,momentum_20d,0.012211288049832607
33,high_low_spread_lag5,0.012162496014337509
34,volume_ratio_5d,0.012131126148821201
35,volatility_20d,0.011966071098664141
36,dist_from_low20,0.011702609182892402
37,sector_avg_return,0.011630754983297496
38,close_open_gap_lag1,0.011445771347392105
39,autocorr_20d,0.011223047088967935
40,high_low_spread_lag20,0.011076772097729429
