column,group
Date,metadata
Ticker,metadata
sector,metadata
Open,ohlcv
High,ohlcv
Low,ohlcv
Close,ohlcv
Adj Close,ohlcv
Volume,ohlcv
daily_return,feature
log_return,feature
high_low_spread,feature
close_open_gap,feature
price_position,feature
volume_change,feature
log_volume,feature
daily_return_lag1,feature
daily_return_lag2,feature
daily_return_lag3,feature
daily_return_lag5,feature
daily_return_lag10,feature
daily_return_lag20,feature
volume_change_lag1,feature
volume_change_lag2,feature
volume_change_lag3,feature
volume_change_lag5,feature
volume_change_lag10,feature
volume_change_lag20,feature
high_low_spread_lag1,feature
high_low_spread_lag2,feature
high_low_spread_lag3,feature
high_low_spread_lag5,feature
high_low_spread_lag10,feature
high_low_spread_lag20,feature
close_open_gap_lag1,feature
close_open_gap_lag2,feature
close_open_gap_lag3,feature
close_open_gap_lag5,feature
close_open_gap_lag10,feature
close_open_gap_lag20,feature
price_position_lag1,feature
price_position_lag2,feature
price_position_lag3,feature
price_position_lag5,feature
price_position_lag10,feature
price_position_lag20,feature
price_vs_ma5,feature
price_vs_ma10,feature
price_vs_ma20,feature
price_vs_ma50,feature
volatility_5d,feature
volatility_10d,feature
volatility_20d,feature
volatility_50d,feature
volume_ratio_5d,feature
volume_ratio_10d,feature
volume_ratio_20d,feature
volume_ratio_50d,feature
volume_std_5d,feature
volume_std_10d,feature
volume_std_20d,feature
volume_std_50d,feature
momentum_5d,feature
momentum_10d,feature
momentum_20d,feature
momentum_50d,feature
dist_from_high5,feature
dist_from_high10,feature
dist_from_high20,feature
dist_from_high50,feature
dist_from_low5,feature
dist_from_low10,feature
dist_from_low20,feature
dist_from_low50,feature
autocorr_20d,feature
sector_avg_return,feature
sector_return_dispersion,feature
relative_strength,feature
sector_pos_frac,feature
sector_total_volume,feature
rel_strength_ma5,feature
rel_strength_ma20,feature
sector_vol_regime,feature
day_of_week,feature
month,feature
quarter,feature
target,target
