No,Code,Company Name,Listing Date,Shares,Listing Board
1,ABBA,Mahaka Media Tbk.,03 Apr 2002,"3,935,892,857",Watchlist
2,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,"17,120,389,700",Main
3,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,"6,449,463,636",Watchlist
4,ARGO,Argo Pantes Tbk,07 Jan 1991,"3,174,339,029",Development
5,ARTA,Arthavest Tbk,05 Nov 2002,"446,674,175",Development
6,AUTO,Astra Otoparts Tbk.,15 Jun 1998,"4,819,733,000",Main
7,BATA,Sepatu Bata Tbk.,24 Mar 1982,"1,300,000,000",Watchlist
8,BAYU,Bayu Buana Tbk,30 Oct 1989,"353,220,780",Main
9,BIMA,Primarindo Asia Infrastructure,30 Agt 1994,"608,175,716",Watchlist
10,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,"873,937,142",Watchlist
11,BMTR,Global Mediacom Tbk.,17 Jul 1995,"16,583,997,586",Main
12,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,"2,343,750,000",Development
13,BRAM,Indo Kordsa Tbk.,05 Sep 1990,"450,056,980",Development
14,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,"24,617,054,642",Development
15,CINT,Chitose Internasional Tbk.,27 Jun 2014,"1,000,000,000",Development
16,CNTX,Century Textile Industry Tbk.,22 May 1979,"70,000,000",Watchlist
17,CSAP,Catur Sentosa Adiprana Tbk.,12 Dec 2007,"5,683,175,151",Watchlist
18,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,"1,334,333,000",Development
19,ERAA,Erajaya Swasembada Tbk.,14 Dec 2011,"15,950,000,000",Main
20,ERTX,Eratex Djaja Tbk.,21 Agt 1990,"1,286,539,792",Development
21,ESTI,Ever Shine Tex Tbk.,13 Oct 1992,"2,015,208,720",Development
22,FAST,Fast Food Indonesia Tbk.,11 May 1993,"4,523,610,492",Development
23,FORU,Fortune Indonesia Tbk,17 Jan 2002,"465,224,000",Development
24,GDYR,Goodyear Indonesia Tbk.,22 Dec 1980,"410,000,000",Development
25,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,"1,600,000,000",Development
26,GJTL,Gajah Tunggal Tbk.,08 May 1990,"3,484,800,000",Main
27,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,"1,111,112,000",Watchlist
28,GWSA,Greenwood Sejahtera Tbk.,23 Dec 2011,"7,800,760,000",Main
29,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,"22,212,194,782",Watchlist
30,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,"3,550,001,452",Watchlist
31,IIKP,Inti Agri Resources Tbk,14 Oct 2002,"33,600,000,000",Watchlist
32,IMAS,Indomobil Sukses Internasional,15 Nov 1993,"3,994,291,039",Main
33,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,"654,351,707",Development
34,INDS,Indospring Tbk.,10 Agt 1990,"6,562,497,100",Development
35,JIHD,Jakarta International Hotels &,29 Feb 1984,"2,329,040,482",Development
36,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,"2,318,736,000",Development
37,KICI,Kedaung Indah Can Tbk,28 Oct 1993,"276,000,000",Development
38,KPIG,MNC Tourism Indonesia Tbk.,30 Mar 2000,"99,857,559,263",Main
39,LMPI,Langgeng Makmur Industri Tbk.,17 Oct 1994,"1,008,517,669",Development
40,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,"425,000,000",Development
41,LPPF,MDS Retailing Tbk.,09 Oct 1989,"2,258,279,280",Main
42,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,"16,600,000,000",Main
43,MDIA,Intermedia Capital Tbk.,11 Apr 2014,"39,215,538,400",Development
44,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,"3,411,046,026",Development
45,MICE,Multi Indocitra Tbk.,21 Dec 2005,"600,000,000",Development
46,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,"15,049,787,710",Main
47,MPMX,Mitra Pinasthika Mustika Tbk.,29 May 2013,"4,386,963,276",Main
48,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,"1,994,370,480",Development
49,MYTX,Asia Pacific Investama Tbk.,10 Oct 1989,"7,747,281,949",Watchlist
50,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,"1,387,500,000",Main
51,PBRX,Pan Brothers Tbk.,16 Agt 1990,"21,482,028,246",Watchlist
52,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,"715,000,000",Development
53,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,"488,000,000",Development
54,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,"1,599,999,996",Development
55,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,"10,351,231,636",Development
56,PTSP,Pioneerindo Gourmet Internatio,30 May 1994,"220,808,000",Development
57,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,"7,096,000,000",Main
58,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,"641,717,510",Development
59,SCMA,Surya Citra Media Tbk.,16 Jul 2002,"73,970,569,505",Main
60,SHID,Hotel Sahid Jaya International,08 May 1990,"1,119,326,168",Development
61,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,"5,758,675,440",Main
62,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,"662,400,000",Development
63,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,"20,452,176,844",Watchlist
64,SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,"1,170,909,181",Development
65,TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,"7,310,929,389",Watchlist
66,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,"4,823,076,400",Watchlist
67,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,"1,058,333,250",Development
68,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,"26,007,494,645",Watchlist
