No,Code,Company Name,Listing Date,Shares,Listing Board
1,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,"620,806,680",Development
2,AMAG,Asuransi Multi Artha Guna Tbk.,23 Dec 2005,"5,001,552,516",Development
3,APIC,Pacific Strategic Financial Tb,18 Dec 2002,"11,766,313,488",Development
4,ARTO,Bank Jago Tbk.,12 Jan 2016,"13,722,768,400",Main
5,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,"348,386,472",Development
6,ASDM,Asuransi Dayin Mitra Tbk.,15 Dec 1989,"384,000,000",Development
7,ASJT,Asuransi Jasa Tania Tbk.,23 Dec 2003,"1,400,000,000",Development
8,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,"8,958,380,460",Watchlist
9,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,"1,277,992,036",Development
10,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,"44,014,333,126",Development
11,BACA,Bank Capital Indonesia Tbk.,04 Oct 2007,"19,753,494,636",Main
12,BBCA,Bank Central Asia Tbk.,31 May 2000,"122,042,299,500",Main
13,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,"21,512,953,877",Main
14,BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,"185,819,884,852",Development
15,BBLD,Buana Finance Tbk.,07 May 1990,"1,645,796,054",Development
16,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,"4,049,189,100",Development
17,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,"36,924,339,786",Main
18,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,"150,043,411,587",Main
19,BBTN,Bank Tabungan Negara (Persero),17 Dec 2009,"13,894,099,969",Main
20,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,"13,216,977,523",Main
21,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,"42,618,850,927",Main
22,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,"17,926,071,041",Development
23,BDMN,Bank Danamon Indonesia Tbk.,06 Dec 1989,"9,675,817,341",Main
24,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,"51,351,733,883",Watchlist
25,BFIN,BFI Finance  Indonesia Tbk.,16 May 1990,"15,039,383,620",Main
26,BGTG,Bank Ganesha Tbk.,12 May 2016,"23,731,287,132",Main
27,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,"6,073,369,498",Main
28,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,"10,416,229,249",Main
29,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,"14,865,343,101",Main
30,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,"34,806,467,881",Development
31,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,"17,921,635,680",Development
32,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,"92,399,999,996",Main
33,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,"3,354,120,000",Development
34,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,"24,890,783,784",Main
35,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,"75,357,433,911",Main
36,BNLI,Bank Permata Tbk.,15 Jan 1990,"35,819,545,925",Main
37,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,"2,673,995,362",Development
38,BPII,Batavia Prosperindo Internasio,08 Jul 2014,"9,884,153,240",Development
39,BSIM,Bank Sinarmas Tbk.,13 Dec 2010,"19,517,921,842",Main
40,BSWD,Bank Of India Indonesia Tbk.,01 May 2002,"3,651,978,177",Watchlist
41,BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,"10,536,203,690",Main
42,BVIC,Bank Victoria International Tb,30 Jun 1999,"18,235,266,754",Main
43,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,"3,984,520,457",Main
44,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,"687,266,666",Development
45,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,"16,721,891,185",Development
46,DNET,Indoritel Makmur Internasional,11 Dec 2000,"14,184,000,000",Main
47,GSMF,Equity Development Investment ,23 Oct 1989,"14,230,399,705",Development
48,HDFA,Radana Bhaskara Finance Tbk.,10 May 2011,"6,542,445,783",Development
49,INPC,Bank Artha Graha Internasional,23 Agt 1990,"20,021,178,779",Main
50,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,"3,000,000,000",Development
51,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,"2,588,250,000",Development
52,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,"25,906,179,152",Main
53,MCOR,Bank China Construction Bank I,03 Jul 2007,"37,540,533,209",Main
54,MEGA,Bank Mega Tbk.,17 Apr 2000,"23,247,028,262",Main
55,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,"517,791,681",Main
56,NISP,Bank OCBC NISP Tbk.,20 Oct 1994,"22,715,776,032",Main
57,NOBU,Bank Nationalnobu Tbk.,20 May 2013,"7,403,659,460",Development
58,OCAP,Onix Capital Tbk.,10 Oct 2003,"273,200,000",Watchlist
59,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,"11,307,246,524",Development
60,PALM,Provident Investasi Bersama Tb,08 Oct 2012,"15,732,874,458",Development
61,PANS,Panin Sekuritas Tbk.,31 May 2000,"720,000,000",Main
62,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,"2,833,417,056",Development
63,PLAS,Polaris Investama Tbk,16 Mar 2001,"1,184,200,000",Watchlist
64,PNBN,Bank Pan Indonesia Tbk,29 Dec 1982,"23,837,645,998",Main
65,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,"38,425,504,906",Development
66,PNIN,Paninvest Tbk.,20 Sep 1983,"4,068,323,920",Main
67,PNLF,Panin Financial Tbk.,14 Jun 1983,"32,022,073,293",Main
68,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,"1,800,000,000",Development
69,SDRA,Bank Woori Saudara Indonesia 1,15 Dec 2006,"14,545,267,990",Development
70,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,"6,367,664,717",Main
71,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,"13,564,835,000",Main
72,STAR,Calculus Global Ventures Tbk.,13 Jul 2011,"4,800,000,602",Development
73,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,"3,552,213,000",Development
74,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,"7,109,300,000",Main
75,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,"800,000,000",Development
76,VICO,Victoria Investama Tbk.,08 Jul 2013,"15,217,075,658",Main
77,VINS,Victoria Insurance Tbk.,28 Sep 2015,"1,553,430,759",Development
