No,Code,Company Name,Listing Date,Shares,Listing Board
1,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,"1,120,000,000",Development
2,INAF,Indofarma Tbk.,17 Apr 2001,"3,099,267,500",Watchlist
3,KAEF,Kimia Farma Tbk.,04 Jul 2001,"5,566,589,677",Development
4,KLBF,Kalbe Farma Tbk.,30 Jul 1991,"46,813,391,540",Main
5,MERK,Merck Tbk.,23 Jul 1981,"448,000,000",Development
6,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,"13,907,481,500",Main
7,PYFA,Pyridam Farma Tbk,16 Oct 2001,"11,236,715,075",Development
8,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,"17,164,632,545",Main
9,SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,"3,600,000",Watchlist
10,SIDO,Industri Jamu dan Farmasi Sido,18 Dec 2013,"30,000,000,000",Main
11,SILO,Siloam International Hospitals,12 Sep 2013,"13,006,125,000",Main
12,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,"12,238,959,990",Development
13,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,"4,509,864,300",Main
14,PRDA,Prodia Widyahusada Tbk.,07 Dec 2016,"937,500,000",Main
15,PRIM,Royal Prima Tbk.,15 May 2018,"3,393,434,905",Development
16,HEAL,Medikaloka Hermina Tbk.,16 May 2018,"15,365,950,000",Main
17,PEHA,Phapros Tbk.,26 Dec 2018,"840,000,000",Development
18,IRRA,Itama Ranoraya Tbk.,15 Oct 2019,"1,600,000,000",Development
19,SOHO,Soho Global Health Tbk.,08 Sep 2020,"12,691,682,390",Development
20,BMHS,Bundamedik Tbk.,06 Jul 2021,"8,603,416,176",Main
21,RSGK,Kedoya Adyaraya Tbk.,08 Sep 2021,"929,675,000",Watchlist
22,MTMH,Murni Sadar Tbk.,20 Apr 2022,"2,068,526,950",Main
23,MEDS,Hetzer Medical Indonesia Tbk.,10 Agt 2022,"1,562,500,000",Development
24,PRAY,Famon Awal Bros Sedaya Tbk.,08 Nov 2022,"13,959,422,300",Development
25,OMED,Jayamas Medica Industri Tbk.,08 Nov 2022,"27,058,850,000",Main
26,MMIX,Multi Medika Internasional Tbk,06 Dec 2022,"4,800,425,380",Development
27,PEVE,Penta Valent Tbk.,24 Jan 2023,"1,765,625,000",Development
28,HALO,Haloni Jane Tbk.,08 Feb 2023,"6,078,729,117",Development
29,RSCH,Charlie Hospital Semarang Tbk.,28 Agt 2023,"2,650,000,000",Development
30,IKPM,Ikapharmindo Putramas Tbk.,08 Nov 2023,"1,684,662,500",Development
31,SURI,Maja Agung Latexindo Tbk.,07 Dec 2023,"6,334,375,000",Development
32,LABS,UBC Medical Indonesia Tbk.,10 Jul 2024,"3,950,000,000",Development
33,OBAT,Brigit Biofarmaka Teknologi Tb,13 Jan 2025,"680,376,575",Development
34,CHEK,Diastika Biotekindo Tbk.,10 Jul 2025,"4,113,331,485",Development
35,MDLA,Medela Potentia Tbk.,15 Apr 2025,"14,012,825,000",Main
36,DKHH,Cipta Sarana Medika Tbk.,08 May 2025,"2,550,312,624",Development
37,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,"33,250,000,000",Development
38,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,"1,279,651,500",Development
