No,Code,Company Name,Listing Date,Shares,Listing Board
1,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,"720,000,000",Development
2,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,"3,691,137,517",Main
3,BIRD,Blue Bird Tbk.,05 Nov 2014,"2,502,100,000",Main
4,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,"25,940,187,103",Watchlist
5,CMPP,AirAsia Indonesia Tbk.,08 Dec 1994,"10,685,124,441",Watchlist
6,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,"407,091,703,837",Development
7,IMJS,Indomobil Multi Jasa Tbk.,10 Dec 2013,"10,849,262,500",Development
8,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,"350,000,022",Development
9,MIRA,Mitra International Resources ,30 Jan 1997,"3,961,452,039",Watchlist
10,MITI,Mitra Investindo Tbk.,16 Jul 1997,"3,750,526,603",Development
11,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Oct 2012,"2,350,000,000",Development
12,SAFE,Steady Safe Tbk,15 Agt 1994,"821,207,512",Development
13,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,"2,250,691,100",Development
14,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,"16,375,600,000",Main
15,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,"10,223,647,156",Watchlist
16,TMAS,Temas Tbk.,09 Jul 2003,"57,051,500,000",Main
17,WEHA,WEHA Transportasi Indonesia Tb,31 May 2007,"1,460,554,819",Development
18,HELI,Jaya Trishindo Tbk.,27 Mar 2018,"832,862,387",Development
19,TRUK,Guna Timur Raya Tbk.,23 May 2018,"435,000,000",Development
20,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,"421,640,000",Development
21,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,"3,534,000,000",Development
22,SAPX,Satria Antaran Prima Tbk.,03 Oct 2018,"833,333,300",Development
23,DEAL,Dewata Freightinternational Tb,11 Nov 2018,"1,146,170,959",Watchlist
24,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,"798,499,394",Development
25,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,"500,000,000",Development
26,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,"6,301,930,902",Watchlist
27,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,"771,178,020",Acceleration
28,TRJA,Transkon Jaya Tbk.,27 Agt 2020,"1,510,200,000",Development
29,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,"2,626,250,000",Development
30,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,"8,680,000,000",Main
31,RCCC,Utama Radar Cahaya Tbk.,02 Agt 2022,"787,500,000",Acceleration
32,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,"7,412,000,000",Main
33,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,"2,149,942,974",Development
34,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,"1,894,375,000",Development
35,MPXL,MPX Logistics International Tb,09 May 2023,"2,000,014,587",Development
36,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,"3,644,415,975",Development
37,LOPI,Logisticsplus International Tb,11 Oct 2023,"1,100,011,289",Acceleration
38,BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,"3,379,487,200",Main
39,PJHB,Pelayaran Jaya Hidup Baru Tbk.,06 Nov 2025,"1,920,141,053",Development
40,WBSA,BSA Logistics Indonesia Tbk.,10 Apr 2026,"8,675,000,000",Watchlist
